months_as_customer,age,policy_deductable,policy_annual_premium,insured_zip,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
160,38,500,1733.56,441425,0,-43800,13,3,2,1,66780,7420,14840,44520,1996,-2.1417489704286115,0.01880298133994822,0.24423814339004812,0.3532009292620996,0.16276385134792143,0.10868976607764927,0.10566313801733124,-0.2378405133467671,-0.07495072914582425,0.2001207876939479,0.10943313257721149,0.2505782121689273,-0.21581133559026666,0.14050471121916333,0.07447014134049569,-0.5695258993909471,0.009118854549079763
354,48,2000,1526.11,469650,0,0,12,1,2,3,90240,15040,15040,60160,1995,-1.873355685932745,0.11846364916797893,0.31995628332931897,0.22323114884259912,-0.43557545297284206,-0.10473177086294372,0.3496057904879988,-0.44174310090798746,-0.4756605760861274,0.26116260677740505,0.2723364434061985,-0.8469399507140236,-0.38291004912301335,-0.4756092989341547,-0.9491865594311657,0.3859765436941468,0.38822922170059293
143,31,500,1163.83,604874,37700,0,21,4,2,0,76120,6920,13840,55360,1999,-2.065205364612606,0.4014691288479997,-0.06145681423110449,0.13077624562530882,0.16081170968789318,-0.06872066859395488,-0.1653542149272698,0.38246251685525534,-0.07965295019173901,0.3135376778561825,0.097922189238353,0.6281329845974597,0.4947127941501457,-0.5264990306696172,0.4809526819392884,0.3763314734543347,0.2205983259577205
152,33,1000,840.81,613607,0,0,2,1,0,2,82610,7510,7510,67590,2002,-2.215839255545386,0.11112590307578502,0.3666198267802573,-0.07646468952732188,0.16080911141457144,0.06577988094578258,-0.11271706485101252,0.6312848810585017,0.4951958558450228,-0.3009264833523329,-0.5535278089390335,-0.5750233023629432,-0.06534397637058117,0.3459260097639815,0.14175433198088636,-0.23267834182299352,-0.3410269316271149
27,32,500,1008.38,472803,37900,0,11,1,1,0,61500,12300,6150,43050,2013,-2.1775674526373834,0.15500340301748566,0.2960480326620393,-0.04250141648598821,0.251376930495118,0.33468941170022176,-0.17792054038342317,0.07084712679579704,0.39005181299941755,-0.39889278955241375,-0.4815111437581862,-0.3180166219736987,-0.2544417736144859,-0.14201050603352328,-0.0709989683162365,-0.28360519951265595,-0.4115360436206946
20,37,500,1482.14,613936,33000,-43600,15,3,2,1,60750,6750,6750,47250,2003,-2.226633866622002,0.529797752388228,0.12426395628273298,-0.32194371551000056,0.07712304477086372,-0.526087164371882,-0.22629170538044,0.37246117465855205,-0.3288738932925267,0.09458946370573072,-0.09641570450773987,0.2141948207295496,0.7080459399181261,-0.5860986927968594,0.8843575915434283,0.03860481469781979,-0.30576611995192965
377,53,500,1693.63,452456,0,-64000,10,3,1,3,59040,6560,6560,45920,2015,-2.144202291127842,0.09242267702591916,0.4097399316237508,-0.27119718014453864,0.1014530420670532,-0.2868867774506919,-0.05095206423236275,0.30647532590412535,-0.3203538408488045,0.4496672172755089,0.40586189365407926,0.11734431548500394,0.31234430465412205,-0.6225217915364103,-0.4854608209030564,-0.11229375795506223,-0.004653076015844748
65,26,500,1285.03,457942,0,-41500,0,1,1,3,52200,5220,10440,36540,2011,-1.7472550019922752,-1.1010072623697484,0.031323584796691666,-0.8665508289451662,-0.2611293735482845,-0.06985639681990426,0.6338760188597883,-0.1269951226022929,0.03142059096901368,-0.28212727268061744,0.10784591144420021,-1.159507214969467,-0.10449101754019058,0.003162060333375724,-0.25282033882918614,0.03634565250333016,-0.0172103806863788
140,32,1000,985.97,457793,0,0,13,1,2,3,82170,14940,7470,59760,1995,-1.7315537495171969,-0.019800551782360516,0.38629052957798077,-0.09167893513806413,-0.35349055060979445,-0.06713550157562069,0.05428054175362072,-0.20938048898072584,-0.5635579086531496,0.4671122570916742,0.2645303130395157,-0.6470490198971454,-0.346559928333711,-0.6903738666357685,-0.4948446459252682,0.3725049144422266,0.11567763155690666
335,50,1000,1538.26,615346,62200,-31400,12,3,2,3,34320,8580,4290,21450,2009,-1.8134946608715103,-0.3225644892871907,0.2961020514939598,0.4643202045503142,-0.8692090836856302,0.05326368681996553,0.4800910616831343,0.3474938710228529,0.4751601754385317,0.4965154963139194,-0.041436683428876485,0.10018727531291408,-0.26873282419495326,1.0466910889232104,0.6275287059257181,-0.34364783951714095,0.020548919496190143
227,38,500,976.67,471600,0,0,16,1,1,2,72200,14440,7220,50540,2013,-2.1628475284419975,0.340329243167884,0.151122618373075,-0.02895438486084522,-0.05456967966117269,0.046362666459279715,-0.17069923539069948,-0.06362748937289063,-0.3588564923826891,-0.21910645056102446,-0.393950633058341,-0.8114972941922092,-0.6199399252030453,-0.0012756302850181478,-0.17072825272450715,0.4539510326833886,-0.2899429675479077
82,27,1000,1384.51,476727,13100,-38200,14,1,2,3,71680,8960,8960,53760,2007,-2.151562253225535,0.15306720797263898,-0.04994423830335931,0.5627296883900721,-0.2335530245248959,0.10959148375754071,0.31046184430023893,-0.061716045547819065,0.1798537797329803,-0.02744220914003613,0.3502020127697395,0.07625893559477062,-0.0249808368972608,-0.12789879920697594,-0.2837976242756084,0.4771275969701936,-0.26807331893371444
48,44,2000,1400.74,611118,34000,-55600,23,3,0,2,87300,17460,17460,52380,2013,-2.1186877558558397,0.37773754049103825,-0.31997431941719484,0.5378174198845078,-0.5197564312572787,-0.011477395057807817,0.2514628744233046,0.31241000585007817,-0.19395602786867136,0.5527674068722025,-0.04988196988087195,0.33536140994570607,0.6685862175874093,-0.32759652009969004,-0.0254842482421406,0.30499938794829695,0.021681856656748183
239,39,2000,625.08,437156,44200,-37000,10,1,2,3,87890,15980,7990,63920,2014,-2.1363516648903036,-0.5650116742031864,-0.23418788336194027,-0.061702844228862755,0.41689611932484383,-0.09184488678700087,0.10053797163675497,-0.5854252478773209,-0.2876161789741556,-0.5394416834002967,0.5277999432091728,-0.1973525636283859,-0.5300082315392541,0.20166844432690822,-0.3270152388111973,0.02668963797633079,0.11487522962339429
239,40,500,1463.95,430567,0,0,20,3,0,0,69740,6340,6340,57060,2003,-2.185908743014768,-0.4529071136155873,-0.3146532417696428,-0.5297559596640798,0.043989456130746854,-0.5891038129714805,0.11957210497661949,0.06586607826417411,-0.7630365757710853,-0.14802250917872944,0.042443389938721265,0.03899461976741446,0.32302040029654056,0.021411971745651404,0.19692947777780606,0.2816824371735899,-0.5778140022525603
12,24,1000,1143.95,464353,51400,0,13,3,2,1,53370,5930,5930,41510,2011,-2.2791349295855445,-0.17781754770749358,0.4935440499736519,0.19727276884568576,-0.3006004188100978,0.049421127376663834,0.4885912453334949,0.35757082752700703,-0.33575769965151764,0.3733518147261822,0.5557343430443146,-0.2877132227816681,0.5194340479604224,0.013732084105043257,0.1647421052014277,-0.4750880399332664,0.19976250314620148
66,26,1000,988.29,476502,0,0,8,1,2,2,57860,0,10520,47340,2008,-2.1913060485530758,0.43659266679337927,-0.16692588330177077,0.947807365672579,-0.1531590638773558,-0.29809178415722076,0.49658881496913015,-0.31744158488341945,-0.09861853540385997,0.1766646561167279,0.242613388847261,-0.03859747549470631,0.07615064312199032,0.006374615269881145,-0.08052408613517759,0.6331743329392767,-0.43125624178215083
66,28,2000,1472.77,471366,0,-31700,0,1,2,1,48290,8780,8780,30730,1995,-2.142730298708303,0.18797372704743814,-0.8963353262262176,-0.03532609182801406,0.1651744459831071,-0.0937460480413789,-0.34530503561948445,-0.3527369837444656,0.27691505483348594,-0.6621874016669371,-0.14983791999230642,0.4948147227801809,0.09828537139833668,0.4923636392042222,0.26180780727133346,0.6273717334929554,0.2215130603745561
64,30,2000,1681.01,446174,0,-51100,16,1,2,1,4900,490,1470,2940,2015,-1.9302727261549042,-0.018697937989347116,0.02594661620674911,0.7314513949174501,-0.05099048516854931,0.4532143163648774,0.48593947998063275,-0.002965081492838563,0.6336251494446784,-0.051824261435497745,0.39204841328759343,0.23990720714967503,0.35238154465574495,0.12669081780674007,-0.5794487751417532,-0.30955516194386623,0.29052252033336645
24,33,1000,1922.84,431277,0,-45200,0,1,2,1,46800,4680,9360,32760,2002,-2.2349751569993868,0.35480548874979945,0.2947347426639853,-0.19168728220233705,0.3818872912233761,-0.08310174330351855,-0.09247079905068904,-0.1287872813885898,-0.09171164267161988,0.14252026585855676,0.17796195364974057,0.10490744250653203,0.16253330780092662,-0.7747934511271939,-0.3197755992480158,0.057148084166096014,-0.1767428779895232
270,41,1000,817.28,460263,62200,0,17,3,1,1,60190,4630,9260,46300,2014,-2.1505809249458423,0.5813326842181906,-0.27464782812523075,0.15364139130149365,-0.2693986811360378,-0.2834836052564208,0.09935329634976817,-0.17301043817350503,-0.07357806053803197,0.22819587167438168,-0.05207982024270491,0.45732608864504554,0.8704932596342837,-0.23986808626878497,-0.15472678056313893,0.08422577493405639,-0.41706752723005536
10,26,2000,765.64,466191,0,-22200,3,3,0,3,31350,2850,5700,22800,2001,-2.109855801338609,0.12864775045326698,-0.9313285649181259,-0.17074138262560332,-0.07690122205007187,-0.08510507192722115,-0.33990483653249554,-0.43489642430964726,-0.40961341338831425,-0.2838428879353345,-0.24763176910323553,0.5225542327430402,0.21450113741385402,0.1003796613498585,-0.5386869043318627,0.30407054400812306,0.1929290522619962
269,41,2000,1422.21,620507,0,-46400,21,1,2,1,85900,17180,17180,51540,2005,-2.124085061394149,-0.06921118908750258,0.4260053195176021,-0.033975881732713695,0.344647137613237,0.36605671221088676,-0.2268387514486586,0.3164564923575189,0.3099717530554492,0.15661159632994223,-0.40836116864553473,-0.4097220959629758,-0.48233889223241083,-0.12058048406833771,0.5019786219823542,0.42231250171992196,0.1161710826309067
330,47,2000,1133.27,432218,0,-56400,20,2,0,2,60500,11000,5500,44000,1999,-2.1775674526373825,0.1736026434315103,0.48137654336518426,0.03740210262422169,0.4349867876456928,-0.7175496825094309,-0.0020575837807778607,0.2582613887834208,-0.42066928835095935,0.12805872312887598,0.45341937692985773,0.10810941674314564,0.3177414238556023,-0.3274329786860469,0.31971037647231565,-0.27394187221459365,-0.5458218842648728
328,48,1000,1406.91,466132,53300,0,5,1,1,2,71610,6510,13020,52080,2004,-2.1638288567216897,0.48580841090588556,-0.09411815526391115,0.5433998350533238,-0.0813190964004694,0.130905191088472,-0.10797102396462331,-0.18764471846910577,0.3202030609985255,-0.16252831705151444,-0.32158757472900446,0.05301358880715552,-0.45655658710918456,0.1947885079848764,0.0367844386796269,0.29597859881769917,-0.16328671038098896
274,46,1000,1372.18,439929,0,0,22,3,1,3,90600,15100,15100,60400,2009,-2.1486182683864583,0.1397210617443192,0.12100974481606228,-0.046779255014057844,0.08992745065001266,0.20684810600321427,-0.29784215298945005,0.30319329593961586,0.32050259967783007,0.23873840386907635,-0.47552087665769616,0.590878523880566,0.2688091756366694,-0.12252123134538478,0.10952195979085397,-0.8536676723223428,-0.26407777474967187
263,43,1000,1294.04,602670,0,0,17,1,2,3,79320,13220,6610,59490,1997,-2.1795301091967683,-0.6309223106675541,-0.2267532455703799,0.004828283216544526,0.08174700515535746,-0.15401111567925843,0.4424722186512671,0.25032266525754787,-0.4533023759260407,-0.391465337926768,0.3550936804663173,-0.701534343380359,-0.32860033930708,0.7689604965136896,-0.22178979224474754,0.4016055199672797,0.29250192848681333
313,50,2000,1255.62,603882,0,0,18,3,2,1,69000,13800,6900,48300,1995,-1.9837551173981387,0.15614620308842883,0.08090361619204121,0.37118934990630953,0.055636061140921456,0.05755081873808604,-0.11656025955108762,0.27883710091327124,0.1236491467251643,0.23027468499725642,-0.1613189242103301,0.3574397851528677,-0.17045136461552757,0.03413490085503104,0.13771629307949712,0.00428014645291977,-0.2520889162983152
290,45,1000,1311.3,451550,38500,0,23,3,0,0,52650,5850,5850,40950,2001,-2.1643195208615364,-0.10033957474878047,0.6804303800930646,-0.021591846986987826,0.40070046485100874,-0.08100478058041292,-0.10267845583568747,0.22666341809512447,0.14842514756148825,0.1895942884954854,0.03688904755628695,-0.033469188288305834,-0.24798364916930532,0.13360698512180025,1.1208896511969042,-0.2310006646939886,0.094100522921712
169,38,1000,1555.94,459878,23300,0,12,3,1,3,79080,6590,13180,59310,2012,-2.041162821760142,0.06431640905623397,0.1542711598244527,0.6160243231238122,0.11225187979281535,-0.2236458905778692,0.4470363966430627,-0.00310063984416127,0.13356214678950382,0.10635445221655945,0.503625759518984,0.6247776160252045,0.5720210447582966,-0.11599121138502591,-0.09709624519582813,-0.5299070827174508,-0.13276295861616585
380,56,1000,1570.86,454685,66000,0,10,1,0,1,58160,7270,7270,43620,1996,-2.114271778597224,0.4900701503742482,0.01622482430256483,0.4095084475315017,0.09342997941305964,0.10620424898572754,0.06290591071775063,-0.348156755332467,0.25698858201326397,-0.27144724106708507,-0.22896610405277829,0.18394426540655162,-0.2642822911727648,0.12965751468155,0.14239908886915623,0.3167258561789905,-0.3493396495443003
437,60,1000,1269.64,602942,48800,0,10,1,1,3,84480,7680,15360,61440,2012,-2.1706981546795374,-0.05648526364870211,0.32751255090404313,0.18313881835064316,0.2132868623982638,0.5394637505378413,-0.08059228973624089,0.14663441589599852,0.2878424665983768,-0.372278493631668,-0.3800291268594027,-0.6682654205493995,-0.42048819797459913,-0.00047432227647548064,-0.4779695551713553,-0.33763504374555803,0.2622564476880983
73,29,1000,1447.78,467947,35100,-59900,15,3,1,0,44910,4990,4990,34930,2001,-2.1285010386527636,0.47649360487113973,-0.3946376625328578,0.5164133817147586,-0.31116653558847857,-0.0732293009073933,0.1111170059673594,0.34296800909124403,0.14958078786021653,0.335628576637935,-0.2277273947441555,0.5373328690929641,0.802981398750974,-0.1992501690832899,-0.07283398302132799,-0.05599563329988264,-0.35218586341494656
206,39,1000,1302.4,603948,47200,-69700,12,3,2,3,36300,3300,9900,23100,2013,-1.7600122696282758,-0.8508759582902191,-0.5014228046869056,-0.2734875728256605,-1.1312696720505615,-0.45214319216417964,0.45232930601183274,-0.20391577871511726,0.33920498838090324,0.3724029450521905,0.41204799707976103,0.6727818260678602,-0.0872825199821694,0.6389549904199082,0.4297437375557803,-0.2593420974190996,-0.5953025380027146
157,31,500,1257.83,458622,40700,-41600,2,4,2,2,47700,4770,9540,33390,2011,-1.6638420982184228,-0.6103469026182627,-0.608862893594244,-0.6006473955300976,-0.23152365271480782,-0.03144285494467426,-0.1469605084872143,-0.13928493393028063,-0.08226522187320616,0.6015910798306291,-0.37244563093996946,0.3009132193211536,0.7965878745480437,0.06616169625765941,-0.09497061988188177,-0.3352886354526114,-0.15193244715133414
208,41,1000,1134.68,464145,0,0,18,1,2,2,69300,6930,13860,48510,1996,-2.1613755360224594,-0.3564558760384409,-0.5300004552830977,-0.44782785349890364,-0.07173666108069714,0.0940620211082546,-0.18944859675694206,-0.13993938904054687,-0.0696251869506298,-0.465854101983261,-0.06826846091135896,0.04793541371346988,-0.03517802056258271,-0.12684812754480498,-0.3112561825301852,-0.10317916442865228,0.09512410615820788
360,51,1000,1526.61,471866,0,-32900,5,1,2,2,4620,840,840,2940,2009,-2.007306996110755,0.32218765688114115,-0.1522979273436703,0.7524190657253933,-0.18520430238364183,0.23051919126340054,0.2946914972811889,0.3567877425656331,0.22646766469116833,0.18234240368322352,0.15427157626200028,-0.1150389498369589,0.003644600580676609,0.15242120754542773,-0.5533144288445856,0.40725934589375734,0.22609360582144755
142,30,500,1412.76,603260,66400,-63700,22,1,2,3,67320,11220,11220,44880,1996,-2.1020051751010698,-0.48849977624926066,-0.6336581717787867,0.24187438170203085,0.3296900562024806,0.28247011968360813,0.051952839615162644,0.08635262836675354,0.4361619700295344,-0.1176686583409321,0.07770865845420455,0.17699088249643163,0.022233250647437895,0.7817312410118038,-0.3904991314029707,0.18735725870369221,0.23086584854160713
127,29,2000,1326.44,436973,0,0,12,2,1,1,66950,10300,10300,46350,1995,-1.8291959133465885,-0.02865940117588135,0.37293335261813265,-0.5253178540233419,-0.4753298505344556,0.06260404435907913,-0.21893897792727285,0.3894287429673697,-0.2560327875128327,0.4546060428291005,-0.8469092817558989,-0.45246455960128135,0.11007840036895333,-0.222968340287035,-0.49269250140171017,-0.6054129442489127,-0.11671724324064287
279,45,2000,1333.97,620819,61100,-30700,21,3,1,0,61050,11100,11100,38850,2011,-1.8287052492067417,-0.4431250965627247,-0.4485869477485349,-1.0340773536422418,-0.8010761253690531,-0.1669630757412376,-0.3065701853176938,0.1225711167108913,-0.901229476776964,0.25017972988737813,-0.20843069034428505,0.026662998560376704,-0.4024395397265723,-0.19618857196030204,-0.17415307891262363,0.21990724083728233,-0.44791965784758725
426,54,2000,1097.71,605258,29600,-22300,13,1,2,3,100800,16800,16800,67200,1997,-2.2624523488307733,-0.10463068040862994,0.48962392887606954,0.22837145458751035,0.06892178933437139,0.07282514739168011,0.3456358992525647,0.46184506027770134,-0.23123805980045947,0.20859272335652518,0.41557754420168963,-0.6343951963718654,-0.22546234282588956,-0.20397990738602534,-0.4921714918041477,0.7665376397854782,0.05349928437812988
217,39,2000,1399.85,605490,49900,-19800,16,3,0,2,64920,10820,10820,43280,1997,-2.2315405080204638,-0.11144710944646018,0.7747982423207916,0.04433205775780735,0.30926399444436836,0.03337725037395013,0.2364516482513516,-0.0769892582038875,-0.23571023243470687,0.32788336252643274,0.8675471311086344,0.03428959222540702,0.367123972822628,-0.13622192058342525,-0.052682292204273326,-0.7792490579534109,0.5593560447129153
156,38,500,1367.99,462525,26500,0,23,3,0,3,55200,11040,5520,38640,1998,-2.160884871882612,0.5522393975755135,-0.04418979359625715,0.21952294272091896,0.2677923376240573,-0.032256894163885295,-0.08428306252435307,-0.3437013300463238,-0.516075891588495,0.424117493090159,0.19549491264943808,0.5325057442712388,0.4351769910852685,-0.4876994111833829,-0.6217348394854995,0.00679103162841533,0.1094236857552439
338,49,1000,1279.08,449718,0,-51500,13,1,0,1,4300,860,860,2580,2004,-1.8419531809825906,-0.5283585189391397,-0.374471799903173,-0.13654360724184017,0.30688224414255366,0.3078177506650248,0.00792627820836822,-0.17183817776359608,0.4491733487133124,-0.37521779844940834,0.3187149864631918,0.562019038717568,0.052608511571000965,0.404714845605541,-0.3439444434233376,-0.53241932042692,0.20602303758562618
59,40,2000,782.23,449221,64200,-32300,0,3,0,2,51570,5730,11460,34380,2010,-2.0328215313827576,0.566136062846003,-0.18909720264162466,0.33978723758043333,-0.12777878859161734,-0.05811797091687701,0.003828239586962168,-0.2727664428703329,0.07899855495627114,-0.0040521883735897555,0.2694571438940176,0.7159246241236468,0.6671444642053502,-0.2542207121894316,-0.027201236588619004,0.14772917460108903,-0.05136619046947441
194,39,500,823.17,455689,0,0,3,3,2,2,61500,6150,12300,43050,2012,-2.138314321449687,0.0821979498893868,-0.7278341213656463,-0.1120574539649277,0.3978691080431495,0.04643044996188421,-0.5138081606862432,-0.3454053508905767,-0.44833407569123773,0.11341539898941654,-0.16477804815914524,0.7264024173194277,0.20263390743063872,0.029016764904536668,-0.5479160639284189,-0.1433799695086593,0.09738925778141978
259,43,500,947.75,458470,0,-39300,15,1,1,3,7680,1280,640,5760,2008,-1.918496786798596,0.18639714603689572,0.3233772910980488,0.05386902981707305,0.018170933556389716,0.10922953734466923,0.09137104647604373,-0.07752228867634339,-0.33969959806166594,-0.07444449476592538,0.27927544668346493,-0.3904861578174486,-0.14747751515694024,-0.5848742939802538,-0.29262079114878314,-0.0016533826704332177,0.2222502635943307
150,31,1000,1354.5,456602,52800,0,6,3,0,3,64800,6480,12960,45360,2000,-2.1427302987083032,0.13436354946678797,-0.8132660506973108,0.07987759952836898,0.34303647718873087,-0.3855384580683989,-0.23399249154007176,-0.5488457827688873,-0.12856221412252727,-0.18272117678005764,0.04812693941630855,0.7766460917824989,0.2415220554139669,0.3443685282467025,-0.048684898320667774,-0.1346423062705225,-0.07281736288882432
305,49,2000,1347.92,430853,0,-42100,21,3,0,2,66550,12100,6050,48400,2003,-2.18443675059523,-0.045185412754553816,0.6000528191096643,-0.18666745083494252,0.17921059526326166,-0.5514902482251015,0.0833672497447604,0.372369541430646,-0.32201482794869096,0.19282926439528703,0.4774364618149625,-0.11611558636629109,0.576920093091702,-0.11003359676036267,-0.19414200553236138,-0.207735183344953,-0.21058299805327207
106,31,2000,1320.75,441491,54100,0,20,3,0,3,45630,5070,5070,35490,2011,-2.2212365610836935,0.2624221076639019,0.2395606341684275,0.0842814885575509,-0.1309726957970963,-0.41480940982878783,0.24970020324423864,-0.1424540626623841,-0.5479246858516835,0.20643081786268835,0.43959110687973935,0.1761595542295702,0.36310337634268636,-0.6507843985114788,0.2224056523848312,0.3766599323745914,-0.2965271330097573
297,48,1000,1538.6,618455,0,-54700,12,1,0,0,60600,6060,12120,42420,2004,-2.2148579272656934,-0.3662933806681865,-0.16229377281509152,-0.5562131136215016,0.5212280413270669,0.1632382127143671,-0.08681077392584609,-0.3262207639783156,-0.3876772022465395,-0.3969176603174583,0.3331176329992565,-0.18099880062100213,-0.3330500137676785,0.1521084456912332,-0.49391456657457966,0.2883315171490719,0.2126404198920885
255,45,500,1192.27,600184,0,-40200,16,1,2,0,67320,12240,12240,42840,2006,-2.056373410095374,0.09734243104497044,0.16332106127494228,0.5605850617374182,0.2780456162840731,-0.3055395592911112,0.3868290608167992,-0.13726596279484418,0.37397865518715306,-0.28196553459914736,0.4892760524683757,0.37162058416116456,0.3102881143500561,-0.09271889349112694,-0.3455404643530883,-0.2941121548583612,-0.2702032253920277
171,34,2000,1277.25,605169,84900,0,14,1,1,2,69200,13840,6920,48440,1996,-2.2261432024821555,-0.6425133814307751,-0.24782651618816104,-0.2420373175504901,-0.07182059298792207,-0.033018314110454715,0.029644040416716512,-0.13818263811288142,-0.26756655762134485,-0.1347840143895094,0.2343851029172323,-0.3552015678633046,-0.28240496063230663,0.18277725209211285,0.19027971028986318,0.34718048913196664,-0.1873396439120971
33,32,500,1402.78,469383,70300,-50300,2,1,0,1,56070,6230,12460,37380,2012,-1.8262519285075116,-0.16887387003146775,0.3333284502256626,-0.08042709119878627,-0.7379154810351689,0.13400260112466644,0.058753539570558774,0.4349762925847009,0.6073613151401893,0.11662910999183175,-0.6953795421733808,-0.8110198765448845,-0.12759358594679548,0.45575847620679233,-0.1287444450347265,-0.41963137331111033,-0.023174296735750388
122,34,500,1495.06,452249,38100,-31400,18,3,2,0,99990,18180,18180,63630,2011,-2.0735466549899906,-0.07387995749413118,0.5451325741655733,-0.004690825223789383,0.05799989521701043,-0.4483784610671717,0.3332974899017836,0.0838542911784942,-0.3187853453163209,0.3639819905818111,0.7563286736191298,0.21479970351039818,0.35285344708589067,-0.6406031359497366,0.40512524430683383,-0.4797597560197442,-0.2530810311840684
224,40,2000,1291.7,609837,0,-55600,21,1,1,0,69840,7760,15520,46560,2009,-2.2300685156009252,-0.18806173642622231,0.5222480867673358,0.19299923267420688,0.4484208011861156,0.283778340786324,0.11019878399119273,0.43522914146022895,0.20861718362161544,-0.3155946954710106,-0.18614026705257966,-0.5035409978786428,-0.6403803037831504,-0.08256462589519274,-0.05645693317038292,-0.16933275837439987,-0.18175071666493195
174,33,2000,1124.43,477346,0,0,14,3,0,1,44200,8840,4420,30940,1995,-2.1132904503175323,-0.5731871531999172,-0.4048984469901439,-0.2319028628374286,-0.013044256514267528,-0.501819506725894,0.06341692814751501,0.44711442858665207,-0.27440930331603675,0.0648052602569811,-0.1146451701899715,0.24591090900538726,0.47169787587789824,0.1153324734166188,0.14428997442453984,-0.28959656151686913,-0.357858406959501
